name,reference,description
Precise trade-offs,https://www.cambridge.org/core/books/decisions-with-multiple-objectives/tradeoffs-under-certainty/63531BB0093A8674D12FE2A6F9FF88B4,"Trade-offs method (direct) is based on the comparison of alternatives which perform differently on two criteria (assuming the performances on the other criteria is fixed). The method is applied with a survey where the respondent is asked to indicate if two alternatives are indifferent. In case they are not, the respondent can indicate which alternative he/she would prefer and then change one of the values in a way that would make alternative A as good (or as bad) as alternative B."
Imprecise trade-offs,Adapatation from https://www.cambridge.org/core/books/decisions-with-multiple-objectives/tradeoffs-under-certainty/63531BB0093A8674D12FE2A6F9FF88B4 with inclusion of imprecise trade-offs,It consists in the adaptation of the precise trade-offs method by allowing respondents to assign an interval to the values that would make two alternatives indifferent.
Precise SWING,https://www.sciencedirect.com/science/article/abs/pii/S0749597884710879,"SWING weighting refers to the change of evaluation of performance on each criterion from one value to a different one (typically from the worst to the best value).
The method considers a fictitious alternative that performs the worst on all the criteria and asks the respondent to indicate which criterion he/she would prefer to improve from its worst value to its best. This swing is assigned 100 points. The respondent is then asked to indicate which criterion of the fictitious alternative would be the second most important one he/she would like to improve from its worst to its best value. He/she should also assign a swing from 0 to 100 to indicate how important that change would be. The process continues until all the criteria are rank ordered in terms of their attractiveness on the 0-100 swing. The assigned points to each criterion are then summed up and used to normalize each criterion on a 0-100 scale."
Imprecise SWING,Adapatation from https://www.sciencedirect.com/science/article/abs/pii/S0749597884710879 with inclusion of imprecise SWING,It consists in the adaptation of the original SWING method (see respective description) by allowing respondents to assign an interval for the points allocated to each swing in the performances of the criteria.  
Precise points allocation,https://www.sciencedirect.com/science/article/abs/pii/S0749597897926947,"Respondents distribute a pre-allocated set of points (e.g., 100) to define the importance of each criterion. "
Imprecise points allocation,Adaptation from https://www.sciencedirect.com/science/article/abs/pii/S0749597897926947 with inclusion of imprecise points,It consists in the adaptation of the deterministic points allocation method by allowing respondents to assign an interval for the points allocated to define the importance of each criterion.
Precise direct rating,https://www.sciencedirect.com/science/article/abs/pii/S0305048301000445,"In direct rating, people rate each criterion on a fixed scale (e.g. 0-100 or 0-10). Minor variants include first giving the most important criterion a value of 100, or first giving the least important criterion a value of 10, the latter without having an upper bound."
Imprecise direct rating,Adaptation from https://www.sciencedirect.com/science/article/abs/pii/S0305048301000445 with inclusion of imprecise rating,It consists in the adaptation of the precise direct rating method by allowing respondents to assign an interval for the points allocated to define the importance of each criterion.
Ranking,https://www.hindawi.com/journals/ads/2012/276584/,"Criteria are ranked from most to least important. The weights are derived afterwards usually by using one of the following methods: rank sum, rank reciprocal, or rank exponent."
AHP,https://www.sciencedirect.com/science/article/abs/pii/037722179090057I,"Criteria are compared on a pairwise comparison basis with a pre-defined semantic scale (the original is 1-9). The higher the importance of a criterion with respect to the other, the higher is the score. After these comparisons are completed, a matrix is derived based on this set of comparisons (K x K, where K is defined as the set of criteria).  The value of the weights is then derived based on the eigenvector of the matrix. The value of the weights is then derived based on the eigenvector of the matrix. The respondent is also provided with a measure of the inconsistency in the given pairwise comparisons."
SIMOS / Revised SIMOS / SRF,https://www.sciencedirect.com/science/article/abs/pii/S0377221715003306,"The method intends to elicit the relative importance of a set of criteria from a decision maker (DM) (one person or the agreement of multiple persons).
The DM is asked to place by decreasing order of importance a deck of cards, each card representing one criterion. Ties are allowed for criteria judged to be equally important. The DM can also place blank cards between other cards in the ranking to indicate a greater difference in importance. Finally, the DM should indicate how many times the most important the first criterion (or group of criteria) is, relatively to the last ranked criterion (or group of criteria)."
Disaggregation methods (Compensation rates),https://link.springer.com/chapter/10.1007/978-3-319-65052-4_13,"The method intends to elicit the relative importance of a set of criteria from a decision maker (DM) (one person or the agreement of multiple persons). 
The DM is asked to provide their judgment about a relatively small number of examples, each one represented by a vector of impact indicator values. The judgment can consist in choice (which vector is preferred), ranking, or classification in predefined categories. Using mathematical programming, the disaggregation approach infers a weighting vector that respects the judgment provided as closely as possible. This disaggregation strategy leads to weights whose meaning is the one of compensation rates."
Disaggregation methods (Importance coefficients),https://www.sciencedirect.com/science/article/abs/pii/S0377221701002508,"The method intends to elicit the relative importance of a set of criteria from a decision maker (DM) (one person or the agreement of multiple persons).
The DM is asked to provide their judgment about a relatively small number of examples, each one represented by a vector of impact indicator values. The judgment can consist in choice (which vector is preferred), ranking, or classification in predefined categories. Using mathematical programming, the disaggregation approach infers a weighting vector that respects the judgment provided as closely as possible. The disaggregation strategy leads to weights whose meaning is the one of importance coefficients."
"SMAA (Compensation rates, no stakeholder preferences)",https://doi.org/10.1287/opre.49.3.444.11220,"Impacts are weighted based on random sampling from a space of weight vectors, usually assuming a uniform distribution (but other distributions can be used). The space of weight vectors is the unit simplex (vectors of positive weights that add up to 100%). The meaning of the weights is the one of compensation rates. Several statistical conclusions about the results of interest can be computed (e.g., probability of winning in a comparative study)."
"SMAA (Compensation rates, with stakeholder preferences)",Adaptation from https://doi.org/10.1287/opre.49.3.444.11220 with inclusion of stakeholders' preferences,"Impacts are weighted based on random sampling from a space of weight vectors, usually assuming a uniform distribution (but other distributions can be used). The space of weight vectors is constrained by the preferences of decision makers, experts or other stakeholders. The meaning of the weights is the one of compensation rates. Several statistical conclusions about the results of interest can be computed (e.g., probability of winning in a comparative study)."
"SMAA (Importance coefficients, no stakeholder preferences)",https://www.sciencedirect.com/science/article/abs/pii/S1364815217308393,"Impacts are weighted based on random sampling from a space of weight vectors, usually assuming a uniform distribution (but other distributions can be used). The space of weight vectors is the unit simplex (vectors of positive weights that add up to 100%). The meaning of the weights is the one of importance coefficients. Several statistical conclusions about the results of interest can be computed (e.g., probability of winning in a comparative study)."
